date,modus_ketinggian_air
2015-01-01,0
2015-02-01,80
2015-03-01,200
2015-04-01,50
2015-05-01,0
2015-06-01,0
2015-07-01,0
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,150
2015-12-01,0
2016-01-01,0
2016-02-01,120
2016-03-01,200
2016-04-01,360
2016-05-01,20
2016-06-01,30
2016-07-01,80
2016-08-01,50
2016-09-01,60
2016-10-01,0
2016-11-01,0
2016-12-01,0
2017-01-01,0
2017-02-01,0
2017-03-01,70
2017-04-01,200
2017-05-01,20
2017-06-01,15
2017-07-01,20
2017-08-01,20
2017-09-01,0
2017-10-01,30
2017-11-01,80
2017-12-01,0
2018-01-01,0
2018-02-01,50
2018-03-01,50
2018-04-01,35
2018-05-01,0
2018-06-01,10
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,30
2018-11-01,30
2018-12-01,10
2019-01-01,10
2019-02-01,20
2019-03-01,50
2019-04-01,20
2019-05-01,20
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,30
2019-11-01,0
2019-12-01,0
2020-01-01,50
2020-02-01,10
2020-03-01,25
2020-04-01,110
2020-05-01,10
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,70
2020-10-01,10
2020-11-01,10
2020-12-01,10
